Input,Keyword,CPC,"Search Volume",Source,"Monthly January","Monthly February","Monthly March","Monthly April","Monthly May","Monthly June","Monthly July","Monthly August","Monthly September","Monthly October","Monthly November","Monthly December"
"marine band","hohner marine band crossover","0.0 Kč",0,Seznam,0,0,2,1,1,0,0,0,0,0,0,0
"marine band","marine band hamburg","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,0,0,0,3,0
"marine band","hohner marine band crossover, a-major","0.0 Kč",0,Seznam,0,0,0,0,0,2,0,0,0,0,0,0
"marine band","hohner marine band crossover d major","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,0,0,0,3,0
"marine band","hohner marine band classic d","0.0 Kč",0,Seznam,0,0,1,0,0,0,1,1,0,0,1,0
"marine band","hohner marine band deluxe c","0.0 Kč",0,Seznam,0,0,0,0,0,0,2,2,0,0,0,0
"marine band","crossover marine band hohner","0.0 Kč",0,Seznam,0,0,0,0,0,1,1,0,0,0,0,0
"marine band","crossover marine band a hohner","0.0 Kč",0,Seznam,0,0,0,0,0,2,0,0,0,0,0,0
"hohner crossover","hohner crossover","0.00 Kč",10,Google,10,10,10,20,10,10,10,10,10,10,10,10
"hohner crossover","hohner marine band crossover","2.24 Kč",10,Google,10,20,10,10,10,10,10,10,10,10,10,10
"hohner crossover","hohner crossover c","0.00 Kč",10,Google,20,20,0,20,20,20,0,0,0,20,20,20
"hohner crossover","crossover hohner harmonica","0.00 Kč",10,Google,20,20,20,0,20,0,0,0,0,20,20,0
"hohner crossover","hohner crossover harmonica","0.00 Kč",10,Google,20,20,20,0,20,0,0,0,0,20,20,0
"hohner crossover","hohner crossover g","0.00 Kč",10,Google,20,20,0,0,0,20,20,0,0,20,0,20
"hohner crossover","hohner marine band crossover a","0.00 Kč",10,Google,0,0,20,20,0,0,0,0,0,20,20,20
"hohner crossover","hohner marine band crossover c","0.00 Kč",10,Google,0,20,0,20,0,0,20,20,0,20,0,0
"hohner crossover","hohner marine band crossover d","0.00 Kč",10,Google,40,0,0,0,0,0,0,0,0,0,40,40
"hohner crossover","harmonica hohner marine band crossover","0.00 Kč",10,Google,0,0,0,0,0,0,60,0,0,0,0,60
"hohner crossover","hohner marine band crossover harmonica","0.00 Kč",10,Google,60,0,0,0,0,0,0,0,0,60,0,0
"hohner crossover","hohner marine band crossover set","0.00 Kč",10,Google,0,0,0,0,0,60,0,0,0,60,0,0
"hohner crossover","hohner crossover marine band harmonica","0.00 Kč",10,Google,0,0,0,0,0,0,0,0,0,60,0,60
"hohner crossover","hohner crossover a","0.00 Kč",10,Google,0,40,0,40,0,0,0,0,0,0,0,40
"hohner crossover","hohner marine band crossover harmonica key of c","0.00 Kč",10,Google,0,0,0,0,0,0,0,0,0,0,60,60
"hohner crossover","harmonica crossover hohner","0.00 Kč",10,Google,0,0,120,0,0,0,0,0,0,0,0,0
"hohner crossover","hohner marine band crossover vs special 20","0.00 Kč",10,Google,0,0,0,0,120,0,0,0,0,0,0,0
"hohner crossover","hohner crossover set","0.00 Kč",10,Google,0,0,0,0,0,0,0,0,0,0,120,0
"hohner crossover","hohner marine band deluxe vs crossover","0.00 Kč",10,Google,0,0,0,0,0,0,0,0,0,0,0,120
"hohner crossover","hohner marine band crossover g","0.00 Kč",10,Google,0,0,120,0,0,0,0,0,0,0,0,0
"hohner crossover","hohner crossover","0.0 Kč",1,Seznam,2,4,0,0,1,0,0,0,1,0,0,0
"hohner crossover","hohner marine band crossover d dur","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,0,0,0,4,0
"hohner crossover","hohner marine band crossover c","0.6 Kč",0,Seznam,4,0,0,0,0,0,0,0,0,0,0,2
"hohner crossover","hohner marine band crossover a","9.0 Kč",0,Seznam,2,1,0,0,0,1,2,0,0,0,0,0
"hohner crossover","crossover marine band hohner a","0.0 Kč",0,Seznam,0,0,0,0,0,0,4,0,0,0,0,0
"hohner crossover","hohner crossover demo youtube","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,0,0,0,0,3
"hohner crossover","harmonika hohner marine band crossover g","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,0,3,0,0,0
"hohner crossover","hohner marine band crossover a dur","0.0 Kč",0,Seznam,1,0,0,0,0,0,1,0,0,0,0,0
"hohner crossover","hohner marine band crossover, d-major","0.0 Kč",0,Seznam,0,0,1,0,0,0,0,0,0,1,0,0
"hohner crossover","hohner marine band crossover, a-major","0.0 Kč",0,Seznam,0,0,0,0,0,2,0,0,0,0,0,0
"hohner crossover","hohner marine band crossover d major","0.0 Kč",0,Seznam,0,0,0,0,0,0,0,0,0,0,3,0
"hohner crossover","hohner marine band crossover","0.0 Kč",0,Seznam,0,0,2,1,1,0,0,0,0,0,0,0
"hohner crossover","hohner marine crossover","0.0 Kč",0,Seznam,0,0,1,1,0,0,0,0,0,0,0,0
"hohner crossover","crossover marine band hohner","0.0 Kč",0,Seznam,0,0,0,0,0,1,1,0,0,0,0,0
"hohner crossover","crossover marine band a hohner","0.0 Kč",0,Seznam,0,0,0,0,0,2,0,0,0,0,0,0
"special  20","hohner special 20","1.79 Kč",70,Google,70,70,100,70,70,50,50,50,40,70,100,70
"special  20","hohner special 20 c","2.02 Kč",20,Google,40,20,20,10,20,10,10,20,10,30,30,30
"special  20","harmonika hohner special 20","0.00 Kč",10,Google,10,10,10,10,10,10,10,10,10,10,10,10
"special  20","hohner special 20 harmonica","0.00 Kč",10,Google,10,10,10,10,10,10,10,10,10,10,10,10
"special  20","hohner special 20 c major","1.79 Kč",10,Google,10,10,10,10,10,10,10,10,10,10,10,10
"special  20","hohner special 20 classic c","1.57 Kč",10,Google,10,10,10,10,10,10,10,0,0,10,10,10
"special  20","hohner special 20 marine band","0.00 Kč",10,Google,10,10,0,10,10,10,10,10,0,10,0,10
"special  20","hohner special 20 a","0.00 Kč",10,Google,10,10,0,10,10,10,0,10,10,10,10,0
"special  20","hohner special 20 country tuning","0.00 Kč",10,Google,0,10,0,10,10,10,10,10,0,10,10,10
"special  20","hohner special 20 g","0.00 Kč",10,Google,10,10,0,10,10,10,10,10,0,10,10,10
"special  20","hohner special 20 progressive","0.00 Kč",10,Google,10,10,0,0,10,10,10,10,10,10,10,10
"special  20","special 20","1.34 Kč",10,Google,0,0,10,10,10,10,10,10,10,10,10,10
"special  20","hohner special 20 classic","0.00 Kč",10,Google,20,20,20,20,20,0,20,0,0,0,20,20
"special  20","cragganmore 20 year old special releases 2020","0.00 Kč",10,Google,20,20,20,0,0,0,0,0,20,20,20,20
"special  20","fifa 20 special card","0.00 Kč",10,Google,20,20,0,0,20,20,20,20,0,20,0,0
"special  20","hohner special 20 country tuned","0.00 Kč",10,Google,0,0,0,0,20,20,20,20,0,20,20,20
"special  20","special 20 harmonica","0.00 Kč",10,Google,0,0,0,20,20,20,0,20,0,20,20,20
"special  20","hohner special 20 c harmonica","0.00 Kč",10,Google,20,0,20,20,0,20,20,0,20,20,0,0
"special  20","hohner special 20 d","0.00 Kč",10,Google,20,20,0,0,20,0,0,20,20,0,20,20
"special  20","hohner special 20 vs marine band","0.00 Kč",10,Google,20,20,20,0,20,0,20,20,0,0,0,20
"special  20","horner special 20","0.00 Kč",10,Google,20,20,0,0,0,20,0,20,20,0,20,20
"special  20","harmonica hohner special 20","0.00 Kč",10,Google,20,0,20,20,0,0,20,0,0,0,20,20
"special  20","hohner special 20 vs lee oskar","0.00 Kč",10,Google,20,0,20,20,0,0,20,0,0,20,20,0
"special  20","marine band vs special 20","0.00 Kč",10,Google,20,20,20,20,20,0,20,0,0,0,0,0
"special  20","special 20 c","0.00 Kč",10,Google,20,20,20,0,0,20,0,0,20,0,0,0
"special  20","hohner special 20 classic c dur","0.00 Kč",10,Google,0,20,20,20,0,0,0,0,0,20,0,20
"special  20","jabra evolve 20 special edition","0.00 Kč",10,Google,0,20,0,0,0,20,0,20,20,0,20,0
"special  20","hohner special 20 f","0.00 Kč",10,Google,0,20,20,0,20,0,0,20,0,20,0,0
"special  20","hohner special 20 e","0.00 Kč",10,Google,0,0,20,0,20,20,20,0,0,0,0,20
"special  20","hohner blues harp vs special 20","0.00 Kč",10,Google,0,0,0,20,20,0,0,20,0,20,0,20
"special  20","hohner special 20 c dur","0.00 Kč",10,Google,20,20,20,0,0,0,20,0,0,0,0,20
"special  20","hohner special 20 progressive vs marine band","0.00 Kč",10,Google,0,0,40,0,40,0,40,0,0,0,0,0
"special  20","law and order special victims unit season 16 episode 20","0.00 Kč",10,Google,0,30,0,0,0,30,30,30,0,0,0,0
"special  20","marine band special 20","0.00 Kč",10,Google,0,0,30,0,0,0,30,0,0,30,0,30
"special  20","osram led star special t26 20 e14","0.00 Kč",10,Google,40,0,40,0,0,0,0,40,0,0,0,0
"special  20","fifa 20 career mode potential to be special","0.00 Kč",10,Google,0,0,0,0,0,40,40,0,40,0,0,0
"special  20","hohner special 20 pack","0.00 Kč",10,Google,30,0,0,30,0,0,0,30,0,0,0,30
"special  20","hohner special 20 or marine band","0.00 Kč",10,Google,0,0,30,30,0,30,0,0,0,0,0,30
"special  20","hohner special 20 country","0.00 Kč",10,Google,30,30,0,0,0,0,0,0,0,30,30,0
"special  20","hohner special 20 marine band harmonica","0.00 Kč",10,Google,30,0,0,0,0,0,0,0,30,30,30,0
"special  20","special 20 hohner c","0.00 Kč",10,Google,30,30,0,0,30,0,0,30,0,0,0,0
"special  20","special card fifa 20","0.00 Kč",10,Google,0,0,0,0,30,30,0,0,30,0,0,30
"special  20","hohner blues band vs special 20","0.00 Kč",10,Google,60,0,0,0,0,0,0,0,0,60,0,0
"special  20","fifa 20 ps4 special edition","0.00 Kč",10,Google,0,0,0,60,60,0,0,0,0,0,0,0
